date_morning,food_category,food_item,supply_intake,unit,food_origin,provided_by
2016-01-24,Livestock / Poultry,Live pig,4750,(head),Mainland,Food and Environmental Hygiene Department
2016-01-24,Livestock / Poultry,Live pig,267,(head),Local,Food and Environmental Hygiene Department
2016-01-24,Livestock / Poultry,Live cattle,70,(head),Mainland,Food and Environmental Hygiene Department
2016-01-24,Livestock / Poultry,Live chicken,10130,(bird),Local,Government Cheung Sha Wan Temporary Wholesale Poultry Market
2016-01-24,Marine fish,-,815,(picul),-,Fish Marketing Organization
2016-01-24,Freshwater fish,-,3011,(picul),-,Government Cheung Sha Wan and Western Wholesale Food Markets and the private Yuen Long Freshwater Fish Market
2016-01-24,Vegetables,-,4690,(picul),-,Vegetable Marketing Organization
2016-01-24,Vegetables,-,7607,(picul),-,Government Wholesale Markets
2016-01-24,Eggs,-,16e4,(nos),-,Government Cheung Sha Wan and Western Wholesale Markets
2016-01-25,Livestock / Poultry,Live pig,4564,(head),Mainland,Food and Environmental Hygiene Department
2016-01-25,Livestock / Poultry,Live pig,250,(head),Local,Food and Environmental Hygiene Department
2016-01-25,Livestock / Poultry,Live cattle,88,(head),Mainland,Food and Environmental Hygiene Department
2016-01-25,Livestock / Poultry,Live chicken,11050,(bird),Local,Government Cheung Sha Wan Temporary Wholesale Poultry Market
2016-01-25,Marine fish,-,1146,(picul),-,Fish Marketing Organization
2016-01-25,Freshwater fish,-,2808,(picul),-,Government Cheung Sha Wan and Western Wholesale Food Markets and the private Yuen Long Freshwater Fish Market
2016-01-25,Vegetables,-,5091,(picul),-,Vegetable Marketing Organization
2016-01-25,Vegetables,-,11369,(picul),-,Government Wholesale Markets
2016-01-25,Eggs,-,512e4,(nos),-,Government Cheung Sha Wan and Western Wholesale Markets
2016-01-26,Livestock / Poultry,Live pig,4556,(head),Mainland,Food and Environmental Hygiene Department
2016-01-26,Livestock / Poultry,Live pig,233,(head),Local,Food and Environmental Hygiene Department
2016-01-26,Livestock / Poultry,Live cattle,79,(head),Mainland,Food and Environmental Hygiene Department
2016-01-26,Livestock / Poultry,Live chicken,2e3,(bird),Mainland,Government Cheung Sha Wan Temporary Wholesale Poultry Market
2016-01-26,Livestock / Poultry,Live chicken,10080,(bird),Local,Government Cheung Sha Wan Temporary Wholesale Poultry Market
2016-01-26,Marine fish,-,1284,(picul),-,Fish Marketing Organization
2016-01-26,Freshwater fish,-,3341,(picul),-,Government Cheung Sha Wan and Western Wholesale Food Markets and the private Yuen Long Freshwater Fish Market
2016-01-26,Vegetables,-,4811,(picul),-,Vegetable Marketing Organization
2016-01-26,Vegetables,-,10560,(picul),-,Government Wholesale Markets
2016-01-26,Eggs,-,423e4,(nos),-,Government Cheung Sha Wan and Western Wholesale Markets
2016-01-27,Livestock / Poultry,Live pig,3990,(head),Mainland,Food and Environmental Hygiene Department
2016-01-27,Livestock / Poultry,Live pig,262,(head),Local,Food and Environmental Hygiene Department
2016-01-27,Livestock / Poultry,Live cattle,78,(head),Mainland,Food and Environmental Hygiene Department
2016-01-27,Livestock / Poultry,Live chicken,11102,(bird),Local,Government Cheung Sha Wan Temporary Wholesale Poultry Market
2016-01-27,Marine fish,-,1264,(picul),-,Fish Marketing Organization
2016-01-27,Freshwater fish,-,3001,(picul),-,Government Cheung Sha Wan and Western Wholesale Food Markets and the private Yuen Long Freshwater Fish Market
2016-01-27,Vegetables,-,4707,(picul),-,Vegetable Marketing Organization
2016-01-27,Vegetables,-,9966,(picul),-,Government Wholesale Markets
2016-01-27,Eggs,-,476e4,(nos),-,Government Cheung Sha Wan and Western Wholesale Markets
2016-01-28,Livestock / Poultry,Live pig,4e3,(head),Mainland,Food and Environmental Hygiene Department
2016-01-28,Livestock / Poultry,Live pig,215,(head),Local,Food and Environmental Hygiene Department
2016-01-28,Livestock / Poultry,Live cattle,76,(head),Mainland,Food and Environmental Hygiene Department
2016-01-28,Livestock / Poultry,Live chicken,2e3,(bird),Mainland,Government Cheung Sha Wan Temporary Wholesale Poultry Market
2016-01-28,Livestock / Poultry,Live chicken,11860,(bird),Local,Government Cheung Sha Wan Temporary Wholesale Poultry Market
2016-01-28,Marine fish,-,1277,(picul),-,Fish Marketing Organization
2016-01-28,Freshwater fish,-,3287,(picul),-,Government Cheung Sha Wan and Western Wholesale Food Markets and the private Yuen Long Freshwater Fish Market
2016-01-28,Vegetables,-,4501,(picul),-,Vegetable Marketing Organization
2016-01-28,Vegetables,-,11171,(picul),-,Government Wholesale Markets
2016-01-28,Eggs,-,482e4,(nos),-,Government Cheung Sha Wan and Western Wholesale Markets
2016-01-29,Livestock / Poultry,Live pig,4083,(head),Mainland,Food and Environmental Hygiene Department
2016-01-29,Livestock / Poultry,Live pig,226,(head),Local,Food and Environmental Hygiene Department
