food_category,food_item,supply_intake,unit,data_from,food_origin,supplier,date_reported,price_this_morning
Livestock / Poultry,Live chicken,0,(bird),(Yesterday),Mainland,Government Cheung Sha Wan Temporary Wholesale Poultry Market,6/1/2016,NA
Livestock / Poultry,Live chicken,9795,(bird),(Yesterday),Local,Government Cheung Sha Wan Temporary Wholesale Poultry Market,6/1/2016,NA
Marine fish,-,1965,(picul),(Yesterday),-,Fish Marketing Organization,6/1/2016,NA
Freshwater fish,-,3035,(picul),(Yesterday),-,Government Cheung Sha Wan and Western Wholesale Food Markets and the private Yuen Long Freshwater Fish Market,6/1/2016,NA
Vegetables,-,5768,(picul),(Yesterday),-,Vegetable Marketing Organization,6/1/2016,NA
Vegetables,-,12573,(picul),(Yesterday),-,Government Wholesale Markets,6/1/2016,NA
Eggs,-,5470000,(nos),(Yesterday),-,Government Cheung Sha Wan and Western Wholesale Markets,6/1/2016,NA
Livestock / Poultry,Live pig,4489,(head),(Yesterday),Mainland,Food and Environmental Hygiene Department,7/1/2016,NA
Livestock / Poultry,Live pig,216,(head),(Yesterday),Local,Food and Environmental Hygiene Department,7/1/2016,NA
Livestock / Poultry,Live cattle,58,(head),(Yesterday),Mainland,Food and Environmental Hygiene Department,7/1/2016,NA
Livestock / Poultry,Live cattle,-,(head),(Yesterday),Local,Food and Environmental Hygiene Department,7/1/2016,NA
Livestock / Poultry,Live chicken,0,(bird),(Yesterday),Mainland,Government Cheung Sha Wan Temporary Wholesale Poultry Market,7/1/2016,NA
Livestock / Poultry,Live chicken,9950,(bird),(Yesterday),Local,Government Cheung Sha Wan Temporary Wholesale Poultry Market,7/1/2016,NA
Marine fish,-,2156,(picul),(Yesterday),-,Fish Marketing Organization,7/1/2016,NA
Freshwater fish,-,3102,(picul),(Yesterday),-,Government Cheung Sha Wan and Western Wholesale Food Markets and the private Yuen Long Freshwater Fish Market,7/1/2016,NA
Vegetables,-,5770,(picul),(Yesterday),-,Vegetable Marketing Organization,7/1/2016,NA
Vegetables,-,12623,(picul),(Yesterday),-,Government Wholesale Markets,7/1/2016,NA
Eggs,-,3410000,(nos),(Yesterday),-,Government Cheung Sha Wan and Western Wholesale Markets,7/1/2016,NA
Livestock / Poultry,Live pig,4007,(head),(Yesterday),Mainland,Food and Environmental Hygiene Department,8/1/2016,NA
Livestock / Poultry,Live pig,206,(head),(Yesterday),Local,Food and Environmental Hygiene Department,8/1/2016,NA
Livestock / Poultry,Live cattle,46,(head),(Yesterday),Mainland,Food and Environmental Hygiene Department,8/1/2016,NA
Livestock / Poultry,Live cattle,-,(head),(Yesterday),Local,Food and Environmental Hygiene Department,8/1/2016,NA
Livestock / Poultry,Live chicken,2000,(bird),(Yesterday),Mainland,Government Cheung Sha Wan Temporary Wholesale Poultry Market,8/1/2016,NA
Livestock / Poultry,Live chicken,7636,(bird),(Yesterday),Local,Government Cheung Sha Wan Temporary Wholesale Poultry Market,8/1/2016,NA
Marine fish,-,1869,(picul),(Yesterday),-,Fish Marketing Organization,8/1/2016,NA
Freshwater fish,-,2941,(picul),(Yesterday),-,Government Cheung Sha Wan and Western Wholesale Food Markets and the private Yuen Long Freshwater Fish Market,8/1/2016,NA
Vegetables,-,5794,(picul),(Yesterday),-,Vegetable Marketing Organization,8/1/2016,NA
Vegetables,-,11451,(picul),(Yesterday),-,Government Wholesale Markets,8/1/2016,NA
Eggs,-,3840000,(nos),(Yesterday),-,Government Cheung Sha Wan and Western Wholesale Markets,8/1/2016,NA
Livestock / Poultry,Live pig,3934,(head),(Yesterday),Mainland,Food and Environmental Hygiene Department,9/1/2016,NA
Livestock / Poultry,Live pig,233,(head),(Yesterday),Local,Food and Environmental Hygiene Department,9/1/2016,NA
Livestock / Poultry,Live cattle,54,(head),(Yesterday),Mainland,Food and Environmental Hygiene Department,9/1/2016,NA
Livestock / Poultry,Live cattle,-,(head),(Yesterday),Local,Food and Environmental Hygiene Department,9/1/2016,NA
Livestock / Poultry,Live chicken,0,(bird),(Yesterday),Mainland,Government Cheung Sha Wan Temporary Wholesale Poultry Market,9/1/2016,NA
Livestock / Poultry,Live chicken,11789,(bird),(Yesterday),Local,Government Cheung Sha Wan Temporary Wholesale Poultry Market,9/1/2016,NA
Marine fish,-,1759,(picul),(Yesterday),-,Fish Marketing Organization,9/1/2016,NA
Freshwater fish,-,2756,(picul),(Yesterday),-,Government Cheung Sha Wan and Western Wholesale Food Markets and the private Yuen Long Freshwater Fish Market,9/1/2016,NA
Vegetables,-,5736,(picul),(Yesterday),-,Vegetable Marketing Organization,9/1/2016,NA
Vegetables,-,10907,(picul),(Yesterday),-,Government Wholesale Markets,9/1/2016,NA
Eggs,-,3820000,(nos),(Yesterday),-,Government Cheung Sha Wan and Western Wholesale Markets,9/1/2016,NA
Livestock / Poultry,Live pig,4303,(head),(Yesterday),Mainland,Food and Environmental Hygiene Department,11/1/2016,NA
Livestock / Poultry,Live pig,271,(head),(Yesterday),Local,Food and Environmental Hygiene Department,11/1/2016,NA
Livestock / Poultry,Live cattle,66,(head),(Yesterday),Mainland,Food and Environmental Hygiene Department,11/1/2016,NA
Livestock / Poultry,Live cattle,-,(head),(Yesterday),Local,Food and Environmental Hygiene Department,11/1/2016,NA
Livestock / Poultry,Live chicken,2000,(bird),(Yesterday),Mainland,Government Cheung Sha Wan Temporary Wholesale Poultry Market,11/1/2016,NA
Livestock / Poultry,Live chicken,9250,(bird),(Yesterday),Local,Government Cheung Sha Wan Temporary Wholesale Poultry Market,11/1/2016,NA
Marine fish,-,1725,(picul),(Yesterday),-,Fish Marketing Organization,11/1/2016,NA
Freshwater fish,-,2748,(picul),(Yesterday),-,Government Cheung Sha Wan and Western Wholesale Food Markets and the private Yuen Long Freshwater Fish Market,11/1/2016,NA
Vegetables,-,5535,(picul),(Yesterday),-,Vegetable Marketing Organization,11/1/2016,NA
Vegetables,-,8976,(picul),(Yesterday),-,Government Wholesale Markets,11/1/2016,NA
Eggs,-,0,(nos),(Yesterday),-,Government Cheung Sha Wan and Western Wholesale Markets,11/1/2016,NA
