date_morning,food_category,food_item,price_morning,unit,food_origin,provided_by
2016-01-01,Vegetables,Potato,4,($ / Catty),NA,Vegetable Marketing Organization Cheung Sha Wan Wholesale Vegetable Market
2016-01-01,Vegetables,Spinach,6.7,($ / Catty),NA,Vegetable Marketing Organization Cheung Sha Wan Wholesale Vegetable Market
2016-01-01,Vegetables,Water Cress,5.7,($ / Catty),NA,Vegetable Marketing Organization Cheung Sha Wan Wholesale Vegetable Market
2016-01-01,Vegetables,Broccoli,8.6,($ / Catty),NA,Vegetable Marketing Organization Cheung Sha Wan Wholesale Vegetable Market
2016-01-01,Vegetables,Green Cabbage,5.2,($ / Catty),NA,Vegetable Marketing Organization Cheung Sha Wan Wholesale Vegetable Market
2016-01-01,Vegetables,Tomato,5,($ / Catty),NA,Vegetable Marketing Organization Cheung Sha Wan Wholesale Vegetable Market
2016-01-01,Vegetables,Pea Shoot,24.8,($ / Catty),NA,Vegetable Marketing Organization Cheung Sha Wan Wholesale Vegetable Market
2016-01-01,Eggs,Brown-shelled egg (medium) Mainland,0.69,($ / Egg),NA,Major wholesalers of the Government Cheung Sha Wan and Western Wholesale Food Markets
2016-01-01,Eggs,Brown-shelled egg (medium) USA,0.86,($ / Egg),NA,Major wholesalers of the Government Cheung Sha Wan and Western Wholesale Food Markets
2016-01-02,Livestock / Poultry,Live pig,1438,($ / Picul),NA,Slaughterhouses
2016-01-02,Livestock / Poultry,Live chicken,41.4,($ / Catty),Local,Major wholesalers at the Government Cheung Sha Wan Temporary Wholesale Poultry Market
2016-01-02,Marine fish,Golden thread,54,($ / Catty),NA,Major wholesalers at the Fish Marketing Organization Cheung Sha Wan Fish Market
2016-01-02,Marine fish,Horse head,39,($ / Catty),NA,Major wholesalers at the Fish Marketing Organization Cheung Sha Wan Fish Market
2016-01-02,Marine fish,Yellow croaker,31,($ / Catty),NA,Major wholesalers at the Fish Marketing Organization Cheung Sha Wan Fish Market
2016-01-02,Marine fish,Big eyes,53,($ / Catty),NA,Major wholesalers at the Fish Marketing Organization Cheung Sha Wan Fish Market
2016-01-02,Marine fish,Scads,16,($ / Catty),NA,Major wholesalers at the Fish Marketing Organization Cheung Sha Wan Fish Market
2016-01-02,Marine fish,Breams,54,($ / Catty),NA,Major wholesalers at the Fish Marketing Organization Cheung Sha Wan Fish Market
2016-01-02,Marine fish,Hairtail,38,($ / Catty),NA,Major wholesalers at the Fish Marketing Organization Cheung Sha Wan Fish Market
2016-01-02,Marine fish,Mackerel,49,($ / Catty),NA,Major wholesalers at the Fish Marketing Organization Cheung Sha Wan Fish Market
2016-01-02,Marine fish,Croakers,17,($ / Catty),NA,Major wholesalers at the Fish Marketing Organization Cheung Sha Wan Fish Market
